"","REGION","SEXO","Variable","Year","AnunalAverage"
"293","6",1,"Employed.Numb",1991,167849.3720025
"294","6",2,"Employed.Numb",1991,50619.97915
"295","6",1,"Employment.Share",1991,0.755877264067514
"296","6",2,"Employment.Share",1991,0.237793229461524
"297","6",1,"Pop",1991,222076.72572
"298","6",2,"Pop",1991,212898.91463
"299","6",1,"Unemployed.Numb",1991,7891.34987
"300","6",2,"Unemployed.Numb",1991,1774.83403
"301","6",1,"Unemployment.Share",1991,0.035537667361602
"302","6",2,"Unemployment.Share",1991,0.00833581805749762
"303","6",1,"Working.Hours",1991,47.7473212683062
"304","6",2,"Working.Hours",1991,44.4815200414984
"305","7",1,"Ave.Age",1991,38.5990859104456
"306","7",2,"Ave.Age",1991,39.2996351035422
"307","7",1,"Ave.Schooling",1991,6.8743966901168
"308","7",2,"Ave.Schooling",1991,7.24042914381786
"309","7",1,"Employed.Numb",1991,205311.266315
"310","7",2,"Employed.Numb",1991,76758.99144
"311","7",1,"Employment.Share",1991,0.764939225222963
"312","7",2,"Employment.Share",1991,0.294629944448297
"313","7",1,"Pop",1991,268385.0763575
"314","7",2,"Pop",1991,260503.212115
"315","7",1,"Unemployed.Numb",1991,17715.30934
"316","7",2,"Unemployed.Numb",1991,7760.502475
"317","7",1,"Unemployment.Share",1991,0.0660365933068938
"318","7",2,"Unemployment.Share",1991,0.0298055448623905
"319","7",1,"Working.Hours",1991,48.9445285367519
"320","7",2,"Working.Hours",1991,45.0530920817013
"321","8",1,"Ave.Age",1991,38.1376963977634
"322","8",2,"Ave.Age",1991,38.7837278674169
"323","8",1,"Ave.Schooling",1991,7.85503213974069
"324","8",2,"Ave.Schooling",1991,7.70869857017164
"325","8",1,"Employed.Numb",1991,417735.1244375
"326","8",2,"Employed.Numb",1991,151639.5034375
"327","8",1,"Employment.Share",1991,0.736503775241269
"328","8",2,"Employment.Share",1991,0.261679062447354
"329","8",1,"Pop",1991,567200.2470025
"330","8",2,"Pop",1991,579403.01509
"331","8",1,"Unemployed.Numb",1991,22556.59879
"332","8",2,"Unemployed.Numb",1991,14438.2027125
"333","8",1,"Unemployment.Share",1991,0.0397559616241147
"334","8",2,"Unemployment.Share",1991,0.0249093640389727
"335","8",1,"Working.Hours",1991,47.6966607099134
"336","8",2,"Working.Hours",1991,43.2246021072932
"337","9",1,"Ave.Age",1991,39.8851554347212
"338","9",2,"Ave.Age",1991,41.3375228839228
"339","9",1,"Ave.Schooling",1991,7.02242336343097
"340","9",2,"Ave.Schooling",1991,6.78702583018104
"341","9",1,"Employed.Numb",1991,183734.9624375
"342","9",2,"Employed.Numb",1991,46878.785905
"343","9",1,"Employment.Share",1991,0.764984077222689
"344","9",2,"Employment.Share",1991,0.191400090841734
"345","9",1,"Pop",1991,240179.1773675
"346","9",2,"Pop",1991,244928.72068
"347","9",1,"Unemployed.Numb",1991,5360.4057225
"348","9",2,"Unemployed.Numb",1991,1798.482175
"349","9",1,"Unemployment.Share",1991,0.0223257564562922
"350","9",2,"Unemployment.Share",1991,0.00734341862950952
"351","9",1,"Working.Hours",1991,46.4189543434885
"352","9",2,"Working.Hours",1991,43.6844540108068
"353","10",1,"Ave.Age",1991,39.2366257301025
"354","10",2,"Ave.Age",1991,40.3818136446059
"355","10",1,"Ave.Schooling",1991,7.06958141177099
"356","10",2,"Ave.Schooling",1991,6.60609934607271
"357","10",1,"Employed.Numb",1991,238331.19917
"358","10",2,"Employed.Numb",1991,67988.706365
"359","10",1,"Employment.Share",1991,0.772960416233646
"360","10",2,"Employment.Share",1991,0.219854154097712
"361","10",1,"Pop",1991,308340.23949
"362","10",2,"Pop",1991,309202.391145
"363","10",1,"Unemployed.Numb",1991,9140.2290575
"364","10",2,"Unemployed.Numb",1991,1791.2905525
"365","10",1,"Unemployment.Share",1991,0.0296450896526679
"366","10",2,"Unemployment.Share",1991,0.00578494870373343
"367","10",1,"Working.Hours",1991,48.2738710789596
"368","10",2,"Working.Hours",1991,46.9391957005905
"369","11",1,"Ave.Age",1991,37.7710452327365
"370","11",2,"Ave.Age",1991,37.0468367969006
"371","11",1,"Ave.Schooling",1991,7.71880443704039
"372","11",2,"Ave.Schooling",1991,7.37864816085827
"373","11",1,"Employed.Numb",1991,23749.28458
"374","11",2,"Employed.Numb",1991,8370.468365
"375","11",1,"Employment.Share",1991,0.824429459452452
"376","11",2,"Employment.Share",1991,0.353996640323059
"377","11",1,"Pop",1991,28808.3060625
"378","11",2,"Pop",1991,23640.8685975
"379","11",1,"Unemployed.Numb",1991,1119.981365
"380","11",2,"Unemployed.Numb",1991,345.899525
"381","11",1,"Unemployment.Share",1991,0.0388673431251063
"382","11",2,"Unemployment.Share",1991,0.0146191551703407
"383","11",1,"Working.Hours",1991,46.4478746806928
"384","11",2,"Working.Hours",1991,43.6186983249744
"385","12",1,"Ave.Age",1991,40.115828427037
"386","12",2,"Ave.Age",1991,40.440716027403
"387","12",1,"Ave.Schooling",1991,8.92029713292344
"388","12",2,"Ave.Schooling",1991,8.58574018376921
"389","12",1,"Employed.Numb",1991,46974.53179
